"","ensembl_gene_id_version","mgi_id","mgi_symbol","chromosome_name","strand","start_position","end_position","description","gene_biotype"
"32863","ENSMUSG00000011254.17","MGI:1913878","Thg1l","11",-1,45837670,45846321,"tRNA-histidine guanylyltransferase 1-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913878]","protein_coding"
"32864","ENSMUSG00000040489.6","MGI:1341157","Sox30","11",1,45871137,45908821,"SRY (sex determining region Y)-box 30 [Source:MGI Symbol;Acc:MGI:1341157]","protein_coding"
"32866","ENSMUSG00000069899.4","MGI:3650635","Sft2d1rt","11",-1,45942181,45943148,"SFT2 domain containing 1, retrotransposed [Source:MGI Symbol;Acc:MGI:3650635]","protein_coding"
"32867","ENSMUSG00000011256.17","MGI:105377","Adam19","11",1,45946819,46038170,"ADAM metallopeptidase domain 19 [Source:MGI Symbol;Acc:MGI:105377]","protein_coding"
"32871","ENSMUSG00000020411.3","MGI:2444671","Nipal4","11",-1,46038982,46057335,"NIPA-like domain containing 4 [Source:MGI Symbol;Acc:MGI:2444671]","protein_coding"
"32873","ENSMUSG00000020340.17","MGI:1924134","Cyfip2","11",-1,46084677,46203686,"cytoplasmic FMR1 interacting protein 2 [Source:MGI Symbol;Acc:MGI:1924134]","protein_coding"
"32874","ENSMUSG00000048721.3","MGI:2443410","Fndc9","11",1,46126358,46130699,"fibronectin type III domain containing 9 [Source:MGI Symbol;Acc:MGI:2443410]","protein_coding"
"32876","ENSMUSG00000020395.14","MGI:96621","Itk","11",-1,46215977,46280342,"IL2 inducible T cell kinase [Source:MGI Symbol;Acc:MGI:96621]","protein_coding"
"32877","ENSMUSG00000020401.7","MGI:3650836","Garin3","11",1,46287386,46298809,"golgi associated RAB2 interactor 3 [Source:MGI Symbol;Acc:MGI:3650836]","protein_coding"
"32878","ENSMUSG00000020397.16","MGI:1913463","Med7","11",1,46327752,46333548,"mediator complex subunit 7 [Source:MGI Symbol;Acc:MGI:1913463]","protein_coding"
"32880","ENSMUSG00000020399.15","MGI:2159682","Havcr2","11",1,46345762,46372082,"hepatitis A virus cellular receptor 2 [Source:MGI Symbol;Acc:MGI:2159682]","protein_coding"
"32881","ENSMUSG00000078924.2","MGI:3650838","Timd5","11",1,46415039,46428983,"T cell immunoglobulin and mucin domain containing 5 [Source:MGI Symbol;Acc:MGI:3650838]","protein_coding"
"32885","ENSMUSG00000046974.7","MGI:3039605","Timd6","11",1,46462363,46480059,"T cell immunoglobulin and mucin domain containing 6 [Source:MGI Symbol;Acc:MGI:3039605]","protein_coding"
"32886","ENSMUSG00000064010.13","MGI:2157522","Dppa1","11",-1,46498599,46520088,"developmental pluripotency associated 1 [Source:MGI Symbol;Acc:MGI:2157522]","protein_coding"
"32888","ENSMUSG00000040413.16","MGI:2159681","Timd2","11",-1,46559787,46597888,"T cell immunoglobulin and mucin domain containing 2 [Source:MGI Symbol;Acc:MGI:2159681]","protein_coding"
"32890","ENSMUSG00000040405.14","MGI:2159680","Havcr1","11",1,46625907,46670405,"hepatitis A virus cellular receptor 1 [Source:MGI Symbol;Acc:MGI:2159680]","protein_coding"
"32891","ENSMUSG00000055546.7","MGI:2445125","Timd4","11",1,46701627,46735159,"T cell immunoglobulin and mucin domain containing 4 [Source:MGI Symbol;Acc:MGI:2445125]","protein_coding"
"32893","ENSMUSG00000020354.16","MGI:1346525","Sgcd","11",-1,46787080,47879796,"sarcoglycan, delta (dystrophin-associated glycoprotein) [Source:MGI Symbol;Acc:MGI:1346525]","protein_coding"
"32900","ENSMUSG00000064057.13","MGI:1915912","Scgb3a1","11",1,49554437,49555945,"secretoglobin, family 3A, member 1 [Source:MGI Symbol;Acc:MGI:1915912]","protein_coding"
"32901","ENSMUSG00000020362.14","MGI:2144529","Cnot6","11",-1,49562330,49603550,"CCR4-NOT transcription complex, subunit 6 [Source:MGI Symbol;Acc:MGI:2144529]","protein_coding"
"32905","ENSMUSG00000020363.7","MGI:1338883","Gfpt2","11",1,49685005,49729440,"glutamine fructose-6-phosphate transaminase 2 [Source:MGI Symbol;Acc:MGI:1338883]","protein_coding"
"32906","ENSMUSG00000020366.19","MGI:1346862","Mapk9","11",1,49737578,49777248,"mitogen-activated protein kinase 9 [Source:MGI Symbol;Acc:MGI:1346862]","protein_coding"
"32908","ENSMUSG00000020374.17","MGI:1921813","Rasgef1c","11",1,49792662,49871821,"RasGEF domain family, member 1C [Source:MGI Symbol;Acc:MGI:1921813]","protein_coding"
"32909","ENSMUSG00000020376.18","MGI:1891717","Rnf130","11",1,49916173,50016546,"ring finger protein 130 [Source:MGI Symbol;Acc:MGI:1891717]","protein_coding"
"32910","ENSMUSG00000036545.10","MGI:1347356","Adamts2","11",1,50492911,50698400,"ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:MGI Symbol;Acc:MGI:1347356]","protein_coding"
"32912","ENSMUSG00000044807.14","MGI:1353621","Zfp354c","11",-1,50701913,50718551,"zinc finger protein 354C [Source:MGI Symbol;Acc:MGI:1353621]","protein_coding"
"32913","ENSMUSG00000044296.11","MGI:3053099","Zfp879","11",-1,50722858,50732379,"zinc finger protein 879 [Source:MGI Symbol;Acc:MGI:3053099]","protein_coding"
"32914","ENSMUSG00000000617.15","MGI:1351343","Grm6","11",1,50741512,50757035,"glutamate receptor, metabotropic 6 [Source:MGI Symbol;Acc:MGI:1351343]","protein_coding"
"32916","ENSMUSG00000048728.16","MGI:2679253","Zfp454","11",-1,50763547,50778478,"zinc finger protein 454 [Source:MGI Symbol;Acc:MGI:2679253]","protein_coding"
"32917","ENSMUSG00000049321.18","MGI:99167","Zfp2","11",-1,50789539,50806992,"zinc finger protein 2 [Source:MGI Symbol;Acc:MGI:99167]","protein_coding"
"32918","ENSMUSG00000020335.14","MGI:1351476","Zfp354b","11",-1,50812650,50822460,"zinc finger protein 354B [Source:MGI Symbol;Acc:MGI:1351476]","protein_coding"
"32920","ENSMUSG00000044542.4","MGI:109330","Prop1","11",-1,50841633,50844592,"paired like homeodomain factor 1 [Source:MGI Symbol;Acc:MGI:109330]","protein_coding"
"32922","ENSMUSG00000050343.3","MGI:3031212","Or1ad6","11",1,50857357,50863940,"olfactory receptor family 1 subfamily AD member 6 [Source:MGI Symbol;Acc:MGI:3031212]","protein_coding"
"32924","ENSMUSG00000061952.7","MGI:3031211","Or1ad1","11",1,50872794,50877420,"olfactory receptor family 1 subfamily AD member 1 [Source:MGI Symbol;Acc:MGI:3031211]","protein_coding"
"32926","ENSMUSG00000060918.3","MGI:1333747","Or1ad8","11",1,50894423,50900503,"olfactory receptor family 1 subfamily AD member 8 [Source:MGI Symbol;Acc:MGI:1333747]","protein_coding"
"32927","ENSMUSG00000059397.3","MGI:1333750","Or1x2","11",1,50905063,50922405,"olfactory receptor family 1 subfamily X member 2 [Source:MGI Symbol;Acc:MGI:1333750]","protein_coding"
"32928","ENSMUSG00000057890.6","MGI:3031209","Or1x6","11",1,50938936,50939877,"olfactory receptor family 1 subfamily X member 6 [Source:MGI Symbol;Acc:MGI:3031209]","protein_coding"
"32929","ENSMUSG00000020364.15","MGI:103172","Zfp354a","11",1,50950084,50963626,"zinc finger protein 354A [Source:MGI Symbol;Acc:MGI:103172]","protein_coding"
"32933","ENSMUSG00000061469.4","MGI:3650740","Msantd5","11",1,51111300,51125880,"Myb/SANT DNA binding domain containing 5 [Source:MGI Symbol;Acc:MGI:3650740]","protein_coding"
"32934","ENSMUSG00000045942.14","MGI:3039622","Msantd5l","11",-1,51144478,51153873,"Myb/SANT DNA binding domain containing 5 like [Source:MGI Symbol;Acc:MGI:3039622]","protein_coding"
"32935","ENSMUSG00000020385.17","MGI:1098551","Clk4","11",1,51152557,51172593,"CDC like kinase 4 [Source:MGI Symbol;Acc:MGI:1098551]","protein_coding"
"32937","ENSMUSG00000063564.14","MGI:2653243","Col23a1","11",1,51180747,51474745,"collagen, type XXIII, alpha 1 [Source:MGI Symbol;Acc:MGI:2653243]","protein_coding"
"32938","ENSMUSG00000020389.20","MGI:2388268","Cdkl3","11",1,51895048,51980611,"cyclin dependent kinase like 3 [Source:MGI Symbol;Acc:MGI:2388268]","protein_coding"
"32939","ENSMUSG00000020349.5","MGI:1321159","Ppp2ca","11",1,51989508,52018605,"protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform [Source:MGI Symbol;Acc:MGI:1321159]","protein_coding"
"32942","ENSMUSG00000062204.2","MGI:3031207","Or2y8","11",-1,52035420,52036355,"olfactory receptor family 2 subfamily Y member 8 [Source:MGI Symbol;Acc:MGI:3031207]","protein_coding"
"32943","ENSMUSG00000060170.4","MGI:3031205","Or2y6","11",-1,52103879,52104814,"olfactory receptor family 2 subfamily Y member 6 [Source:MGI Symbol;Acc:MGI:3031205]","protein_coding"
"32944","ENSMUSG00000036309.15","MGI:103575","Skp1","11",1,52122822,52137685,"S-phase kinase-associated protein 1 [Source:MGI Symbol;Acc:MGI:103575]","protein_coding"
"32946","ENSMUSG00000000782.17","MGI:98507","Tcf7","11",-1,52143198,52174158,"transcription factor 7, T cell specific [Source:MGI Symbol;Acc:MGI:98507]","protein_coding"
"32948","ENSMUSG00000020402.12","MGI:106919","Vdac1","11",1,52251687,52280224,"voltage-dependent anion channel 1 [Source:MGI Symbol;Acc:MGI:106919]","protein_coding"
"32952","ENSMUSG00000036264.10","MGI:2443199","Fstl4","11",1,52655461,53079365,"follistatin-like 4 [Source:MGI Symbol;Acc:MGI:2443199]","protein_coding"
"32954","ENSMUSG00000063652.11","MGI:1929481","Slc22a21","11",-1,53840791,53871158,"solute carrier family 22 (organic cation transporter), member 21 [Source:MGI Symbol;Acc:MGI:1929481]","protein_coding"
"32956","ENSMUSG00000020334.7","MGI:1353479","Slc22a4","11",-1,53873949,53918916,"solute carrier family 22 (organic cation transporter), member 4 [Source:MGI Symbol;Acc:MGI:1353479]","protein_coding"
"32957","ENSMUSG00000020388.13","MGI:1353470","Pdlim4","11",-1,53945754,53959840,"PDZ and LIM domain 4 [Source:MGI Symbol;Acc:MGI:1353470]","protein_coding"
"32958","ENSMUSG00000018906.15","MGI:894286","P4ha2","11",1,53990921,54022491,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide [Source:MGI Symbol;Acc:MGI:894286]","protein_coding"
"32961","ENSMUSG00000018916.6","MGI:1339752","Csf2","11",-1,54138097,54140493,"colony stimulating factor 2 (granulocyte-macrophage) [Source:MGI Symbol;Acc:MGI:1339752]","protein_coding"
"32962","ENSMUSG00000018914.6","MGI:96552","Il3","11",-1,54156129,54158103,"interleukin 3 [Source:MGI Symbol;Acc:MGI:96552]","protein_coding"
"32963","ENSMUSG00000020333.18","MGI:894291","Acsl6","11",1,54194624,54255582,"acyl-CoA synthetase long-chain family member 6 [Source:MGI Symbol;Acc:MGI:894291]","protein_coding"
"32964","ENSMUSG00000020332.8","MGI:1922097","Meikin","11",1,54261478,54317616,"meiotic kinetochore factor [Source:MGI Symbol;Acc:MGI:1922097]","protein_coding"
"32966","ENSMUSG00000035992.16","MGI:2444668","Fnip1","11",1,54329025,54409061,"folliculin interacting protein 1 [Source:MGI Symbol;Acc:MGI:2444668]","protein_coding"
"32968","ENSMUSG00000037533.21","MGI:2384761","Rapgef6","11",1,54413673,54590111,"Rap guanine nucleotide exchange factor (GEF) 6 [Source:MGI Symbol;Acc:MGI:2384761]","protein_coding"
"32970","ENSMUSG00000052298.13","MGI:1919979","Cdc42se2","11",-1,54608282,54678501,"CDC42 small effector 2 [Source:MGI Symbol;Acc:MGI:1919979]","protein_coding"
"32973","ENSMUSG00000020268.15","MGI:1922780","Lyrm7","11",-1,54717692,54751742,"LYR motif containing 7 [Source:MGI Symbol;Acc:MGI:1922780]","protein_coding"
"32975","ENSMUSG00000020267.7","MGI:1321133","Hint1","11",1,54757209,54761327,"histidine triad nucleotide binding protein 1 [Source:MGI Symbol;Acc:MGI:1321133]","protein_coding"
"32976","ENSMUSG00000018339.13","MGI:105102","Gpx3","11",1,54793279,54801203,"glutathione peroxidase 3 [Source:MGI Symbol;Acc:MGI:105102]","protein_coding"
"32977","ENSMUSG00000020400.18","MGI:1926194","Tnip1","11",-1,54801611,54853743,"TNFAIP3 interacting protein 1 [Source:MGI Symbol;Acc:MGI:1926194]","protein_coding"
"32979","ENSMUSG00000018340.14","MGI:88255","Anxa6","11",-1,54869934,54924271,"annexin A6 [Source:MGI Symbol;Acc:MGI:88255]","protein_coding"
"32980","ENSMUSG00000049588.14","MGI:1196234","Ccdc69","11",-1,54940557,54968957,"coiled-coil domain containing 69 [Source:MGI Symbol;Acc:MGI:1196234]","protein_coding"
"32981","ENSMUSG00000000594.8","MGI:95762","Gm2a","11",1,54988941,55003855,"GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762]","protein_coding"
"32983","ENSMUSG00000049491.16","MGI:2665001","Slc36a3","11",-1,55015641,55042534,"solute carrier family 36 (proton/amino acid symporter), member 3 [Source:MGI Symbol;Acc:MGI:2665001]","protein_coding"
"32984","ENSMUSG00000020264.6","MGI:1891430","Slc36a2","11",-1,55049296,55075903,"solute carrier family 36 (proton/amino acid symporter), member 2 [Source:MGI Symbol;Acc:MGI:1891430]","protein_coding"
"32985","ENSMUSG00000020261.16","MGI:2445299","Slc36a1","11",1,55095176,55127156,"solute carrier family 36 (proton/amino acid symporter), member 1 [Source:MGI Symbol;Acc:MGI:2445299]","protein_coding"
"32986","ENSMUSG00000055333.15","MGI:2685369","Fat2","11",-1,55141435,55227390,"FAT atypical cadherin 2 [Source:MGI Symbol;Acc:MGI:2685369]","protein_coding"
"32987","ENSMUSG00000018593.14","MGI:98373","Sparc","11",-1,55285326,55314009,"secreted acidic cysteine rich glycoprotein [Source:MGI Symbol;Acc:MGI:98373]","protein_coding"
"32988","ENSMUSG00000018585.10","MGI:1333855","Atox1","11",-1,55337467,55352065,"antioxidant 1 copper chaperone [Source:MGI Symbol;Acc:MGI:1333855]","protein_coding"
"32990","ENSMUSG00000018583.6","MGI:1351465","G3bp1","11",1,55360511,55395664,"G3BP stress granule assembly factor 1 [Source:MGI Symbol;Acc:MGI:1351465]","protein_coding"
"32994","ENSMUSG00000000263.16","MGI:95747","Glra1","11",-1,55405064,55499024,"glycine receptor, alpha 1 subunit [Source:MGI Symbol;Acc:MGI:95747]","protein_coding"
"32996","ENSMUSG00000037393.3","MGI:2441765","Nmur2","11",-1,55915813,55931836,"neuromedin U receptor 2 [Source:MGI Symbol;Acc:MGI:2441765]","protein_coding"
"32999","ENSMUSG00000020524.17","MGI:95808","Gria1","11",1,56902213,57221070,"glutamate receptor, ionotropic, AMPA1 (alpha 1) [Source:MGI Symbol;Acc:MGI:95808]","protein_coding"
"33001","ENSMUSG00000020523.15","MGI:1917629","Fam114a2","11",-1,57373819,57409443,"family with sequence similarity 114, member A2 [Source:MGI Symbol;Acc:MGI:1917629]","protein_coding"
"33002","ENSMUSG00000020522.14","MGI:1924068","Mfap3","11",1,57409490,57424641,"microfibrillar-associated protein 3 [Source:MGI Symbol;Acc:MGI:1924068]","protein_coding"
"33004","ENSMUSG00000020520.15","MGI:1890480","Galnt10","11",1,57536268,57678340,"polypeptide N-acetylgalactosaminyltransferase 10 [Source:MGI Symbol;Acc:MGI:1890480]","protein_coding"
"33008","ENSMUSG00000020519.6","MGI:1354709","Sap30l","11",1,57692463,57701043,"SAP30-like [Source:MGI Symbol;Acc:MGI:1354709]","protein_coding"
"33009","ENSMUSG00000037335.14","MGI:103577","Hand1","11",-1,57719531,57723644,"heart and neural crest derivatives expressed 1 [Source:MGI Symbol;Acc:MGI:103577]","protein_coding"
"33011","ENSMUSG00000020435.18","MGI:1921559","Osbp2","11",-1,3653731,3813903,"oxysterol binding protein 2 [Source:MGI Symbol;Acc:MGI:1921559]","protein_coding"
"33015","ENSMUSG00000047205.13","MGI:1922469","Dusp18","11",1,3845240,3851296,"dual specificity phosphatase 18 [Source:MGI Symbol;Acc:MGI:1922469]","protein_coding"
"33016","ENSMUSG00000048807.3","MGI:2144150","Slc35e4","11",-1,3857021,3864664,"solute carrier family 35, member E4 [Source:MGI Symbol;Acc:MGI:2144150]","protein_coding"
"33017","ENSMUSG00000020432.13","MGI:98534","Tcn2","11",-1,3867192,3882159,"transcobalamin 2 [Source:MGI Symbol;Acc:MGI:98534]","protein_coding"
"33020","ENSMUSG00000020430.13","MGI:1890613","Pes1","11",1,3913975,3930004,"pescadillo ribosomal biogenesis factor 1 [Source:MGI Symbol;Acc:MGI:1890613]","protein_coding"
"33021","ENSMUSG00000049721.15","MGI:1858277","Gal3st1","11",1,3933636,3949326,"galactose-3-O-sulfotransferase 1 [Source:MGI Symbol;Acc:MGI:1858277]","protein_coding"
"33023","ENSMUSG00000019368.14","MGI:2144095","Sec14l4","11",1,3981462,3998024,"SEC14-like lipid binding 4 [Source:MGI Symbol;Acc:MGI:2144095]","protein_coding"
"33024","ENSMUSG00000054986.14","MGI:3617848","Sec14l3","11",1,4014841,4027736,"SEC14-like lipid binding 3 [Source:MGI Symbol;Acc:MGI:3617848]","protein_coding"
"33025","ENSMUSG00000004748.6","MGI:1916686","Mtfp1","11",-1,4041480,4045445,"mitochondrial fission process 1 [Source:MGI Symbol;Acc:MGI:1916686]","protein_coding"
"33026","ENSMUSG00000003585.14","MGI:1915065","Sec14l2","11",-1,4047039,4073415,"SEC14-like lipid binding 2 [Source:MGI Symbol;Acc:MGI:1915065]","protein_coding"
"33029","ENSMUSG00000003581.15","MGI:1918923","Rnf215","11",1,4085202,4091172,"ring finger protein 215 [Source:MGI Symbol;Acc:MGI:1918923]","protein_coding"
"33031","ENSMUSG00000051427.15","MGI:3041210","Ccdc157","11",-1,4091123,4110293,"coiled-coil domain containing 157 [Source:MGI Symbol;Acc:MGI:3041210]","protein_coding"
"33032","ENSMUSG00000002129.12","MGI:1914715","Sf3a1","11",1,4110350,4132541,"splicing factor 3a, subunit 1 [Source:MGI Symbol;Acc:MGI:1914715]","protein_coding"
"33033","ENSMUSG00000034412.14","MGI:2144164","Tbc1d10a","11",1,4136789,4165505,"TBC1 domain family, member 10a [Source:MGI Symbol;Acc:MGI:2144164]","protein_coding"
"33034","ENSMUSG00000020424.4","MGI:1919212","Castor1","11",1,4168225,4172409,"cytosolic arginine sensor for mTORC1 subunit 1 [Source:MGI Symbol;Acc:MGI:1919212]","protein_coding"
"33036","ENSMUSG00000058755.4","MGI:104749","Osm","11",1,4186420,4191026,"oncostatin M [Source:MGI Symbol;Acc:MGI:104749]","protein_coding"
"33037","ENSMUSG00000034394.15","MGI:96787","Lif","11",1,4207557,4222514,"leukemia inhibitory factor [Source:MGI Symbol;Acc:MGI:96787]","protein_coding"
"33039","ENSMUSG00000020419.12","MGI:1923078","Hormad2","11",-1,4295814,4391105,"HORMA domain containing 2 [Source:MGI Symbol;Acc:MGI:1923078]","protein_coding"
"33040","ENSMUSG00000009073.17","MGI:97307","Nf2","11",-1,4715845,4799536,"neurofibromin 2 [Source:MGI Symbol;Acc:MGI:97307]","protein_coding"
"33041","ENSMUSG00000034285.16","MGI:1278344","Nipsnap1","11",1,4823951,4844200,"nipsnap homolog 1 [Source:MGI Symbol;Acc:MGI:1278344]","protein_coding"
"33043","ENSMUSG00000034274.12","MGI:1351333","Thoc5","11",1,4845320,4878867,"THO complex 5 [Source:MGI Symbol;Acc:MGI:1351333]","protein_coding"
"33045","ENSMUSG00000020396.9","MGI:97309","Nefh","11",-1,4888754,4898064,"neurofilament, heavy polypeptide [Source:MGI Symbol;Acc:MGI:97309]","protein_coding"
"33046","ENSMUSG00000009090.18","MGI:1096368","Ap1b1","11",1,4936824,4992791,"adaptor protein complex AP-1, beta 1 subunit [Source:MGI Symbol;Acc:MGI:1096368]","protein_coding"
"33049","ENSMUSG00000034201.14","MGI:1926176","Gas2l1","11",-1,5004132,5015327,"growth arrest-specific 2 like 1 [Source:MGI Symbol;Acc:MGI:1926176]","protein_coding"
"33050","ENSMUSG00000034209.5","MGI:1922918","Rasl10a","11",1,5008128,5010385,"RAS-like, family 10, member A [Source:MGI Symbol;Acc:MGI:1922918]","protein_coding"
"33051","ENSMUSG00000009079.17","MGI:99960","Ewsr1","11",-1,5019689,5049266,"Ewing sarcoma breakpoint region 1 [Source:MGI Symbol;Acc:MGI:99960]","protein_coding"
"33052","ENSMUSG00000034175.14","MGI:2444684","Rhbdd3","11",1,5048926,5056093,"rhomboid domain containing 3 [Source:MGI Symbol;Acc:MGI:2444684]","protein_coding"
"33053","ENSMUSG00000034164.18","MGI:2155091","Emid1","11",-1,5056265,5102257,"EMI domain containing 1 [Source:MGI Symbol;Acc:MGI:2155091]","protein_coding"
"33054","ENSMUSG00000000378.16","MGI:2384924","Ccm2","11",1,6496887,6546744,"cerebral cavernous malformation 2 [Source:MGI Symbol;Acc:MGI:2384924]","protein_coding"
"33055","ENSMUSG00000041073.11","MGI:3603030","Nacad","11",-1,6547823,6556053,"NAC alpha domain containing [Source:MGI Symbol;Acc:MGI:3603030]","protein_coding"
"33056","ENSMUSG00000000384.16","MGI:1100868","Tbrg4","11",-1,6565598,6576067,"transforming growth factor beta regulated gene 4 [Source:MGI Symbol;Acc:MGI:1100868]","protein_coding"
"33059","ENSMUSG00000000381.11","MGI:98943","Wap","11",-1,6585482,6588637,"whey acidic protein [Source:MGI Symbol;Acc:MGI:98943]","protein_coding"
"33060","ENSMUSG00000041046.8","MGI:1860292","Ramp3","11",1,6608521,6627475,"receptor (calcitonin) activity modifying protein 3 [Source:MGI Symbol;Acc:MGI:1860292]","protein_coding"
"33065","ENSMUSG00000020431.6","MGI:99677","Adcy1","11",1,7013489,7128506,"adenylate cyclase 1 [Source:MGI Symbol;Acc:MGI:99677]","protein_coding"
"33066","ENSMUSG00000087512.3","MGI:3650614","Ccdc201","11",-1,7133153,7138569,"coiled coil domain 201 [Source:MGI Symbol;Acc:MGI:3650614]","protein_coding"
"33067","ENSMUSG00000020429.8","MGI:96436","Igfbp1","11",1,7147782,7152546,"insulin-like growth factor binding protein 1 [Source:MGI Symbol;Acc:MGI:96436]","protein_coding"
"33068","ENSMUSG00000020427.12","MGI:96438","Igfbp3","11",-1,7156086,7163923,"insulin-like growth factor binding protein 3 [Source:MGI Symbol;Acc:MGI:96438]","protein_coding"
"33075","ENSMUSG00000020422.15","MGI:2443012","Tns3","11",-1,8381652,8614681,"tensin 3 [Source:MGI Symbol;Acc:MGI:2443012]","protein_coding"
"33076","ENSMUSG00000020407.14","MGI:1097668","Upp1","11",1,9068103,9086170,"uridine phosphorylase 1 [Source:MGI Symbol;Acc:MGI:1097668]","protein_coding"
"33078","ENSMUSG00000004668.15","MGI:2388707","Abca13","11",1,9141942,9634259,"ATP-binding cassette, sub-family A member 13 [Source:MGI Symbol;Acc:MGI:2388707]","protein_coding"
"33082","ENSMUSG00000050830.18","MGI:2442987","Vwc2","11",1,11064223,11218931,"von Willebrand factor C domain containing 2 [Source:MGI Symbol;Acc:MGI:2442987]","protein_coding"
"33084","ENSMUSG00000020193.4","MGI:1855701","Zpbp","11",-1,11229626,11412408,"zona pellucida binding protein [Source:MGI Symbol;Acc:MGI:1855701]","protein_coding"
"33088","ENSMUSG00000020191.12","MGI:1921112","Spmip7","11",1,11412094,11465192,"sperm microtubule inner protein 7 [Source:MGI Symbol;Acc:MGI:1921112]","protein_coding"
"33090","ENSMUSG00000020182.17","MGI:94876","Ddc","11",-1,11764101,11848144,"dopa decarboxylase [Source:MGI Symbol;Acc:MGI:94876]","protein_coding"
"33092","ENSMUSG00000020176.18","MGI:103232","Grb10","11",-1,11880508,11988683,"growth factor receptor bound protein 10 [Source:MGI Symbol;Acc:MGI:103232]","protein_coding"
"33095","ENSMUSG00000020173.18","MGI:105056","Cobl","11",-1,12186608,12414960,"cordon-bleu WH2 repeat [Source:MGI Symbol;Acc:MGI:105056]","protein_coding"
"33101","ENSMUSG00000084135.5","MGI:1920677","Pom121l12","11",1,14549276,14550314,"POM121 membrane glycoprotein-like 12 [Source:MGI Symbol;Acc:MGI:1920677]","protein_coding"
"33110","ENSMUSG00000048834.17","MGI:2384826","Vstm2a","11",1,16207724,16377310,"V-set and transmembrane domain containing 2A [Source:MGI Symbol;Acc:MGI:2384826]","protein_coding"
"33112","ENSMUSG00000078974.11","MGI:1202066","Sec61g","11",-1,16450530,16458484,"SEC61 translocon subunit gamma [Source:MGI Symbol;Acc:MGI:1202066]","protein_coding"
"33118","ENSMUSG00000020122.17","MGI:95294","Egfr","11",1,16702203,16868158,"epidermal growth factor receptor [Source:MGI Symbol;Acc:MGI:95294]","protein_coding"
"33120","ENSMUSG00000044966.5","MGI:2442569","Fbxo48","11",1,16901375,16904772,"F-box protein 48 [Source:MGI Symbol;Acc:MGI:2442569]","protein_coding"
"33121","ENSMUSG00000020120.16","MGI:1860485","Plek","11",-1,16921206,17002381,"pleckstrin [Source:MGI Symbol;Acc:MGI:1860485]","protein_coding"
"33123","ENSMUSG00000044629.6","MGI:1917505","Cnrip1","11",1,17001586,17029371,"cannabinoid receptor interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917505]","protein_coding"
"33125","ENSMUSG00000033953.11","MGI:107172","Ppp3r1","11",1,17109263,17150375,"protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I) [Source:MGI Symbol;Acc:MGI:107172]","protein_coding"
"33126","ENSMUSG00000078970.6","MGI:2144224","Dnaaf10","11",1,17132107,17183796,"dynein axonemal assembly factor 10 [Source:MGI Symbol;Acc:MGI:2144224]","protein_coding"
"33127","ENSMUSG00000020116.8","MGI:1913499","Pno1","11",-1,17153198,17161568,"partner of NOB1 homolog [Source:MGI Symbol;Acc:MGI:1913499]","protein_coding"
"33128","ENSMUSG00000000581.9","MGI:1927354","C1d","11",1,17207579,17219176,"C1D nuclear receptor co-repressor [Source:MGI Symbol;Acc:MGI:1927354]","protein_coding"
"33132","ENSMUSG00000016984.8","MGI:1915395","Etaa1","11",-1,17888756,17903875,"Ewing tumor-associated antigen 1 [Source:MGI Symbol;Acc:MGI:1915395]","protein_coding"
"33142","ENSMUSG00000020160.19","MGI:104717","Meis1","11",-1,18829817,18968985,"Meis homeobox 1 [Source:MGI Symbol;Acc:MGI:104717]","protein_coding"
"33153","ENSMUSG00000020152.8","MGI:1913963","Actr2","11",-1,20012304,20062913,"actin related protein 2 [Source:MGI Symbol;Acc:MGI:1913963]","protein_coding"
"33156","ENSMUSG00000020149.18","MGI:97842","Rab1a","11",1,20151432,20176856,"RAB1A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:97842]","protein_coding"
"33157","ENSMUSG00000044066.15","MGI:2667663","Cep68","11",-1,20177037,20199429,"centrosomal protein 68 [Source:MGI Symbol;Acc:MGI:2667663]","protein_coding"
"33159","ENSMUSG00000020142.13","MGI:2135601","Slc1a4","11",-1,20252180,20282713,"solute carrier family 1 (glutamate/neutral amino acid transporter), member 4 [Source:MGI Symbol;Acc:MGI:2135601]","protein_coding"
"33162","ENSMUSG00000049800.14","MGI:1931026","Sertad2","11",1,20493253,20603021,"SERTA domain containing 2 [Source:MGI Symbol;Acc:MGI:1931026]","protein_coding"
"33164","ENSMUSG00000049659.16","MGI:1923012","Aftph","11",-1,20635084,20691589,"aftiphilin [Source:MGI Symbol;Acc:MGI:1923012]","protein_coding"
"33166","ENSMUSG00000042363.15","MGI:1916114","Lgalsl","11",-1,20773576,20781056,"galectin like [Source:MGI Symbol;Acc:MGI:1916114]","protein_coding"
"33170","ENSMUSG00000020134.14","MGI:1914495","Peli1","11",1,21041291,21100323,"pellino 1 [Source:MGI Symbol;Acc:MGI:1914495]","protein_coding"
